id,Target,Content
P01,An,(哇嗚……痛、痛死我了，好端端地走在路上怎麼會有坑啊！？)
P02,An,(還好這裡有上面牧場掉落的稻草，不然就大事不妙了……)
P03,諾姆,喂～安，聽的到我的聲音嗎？你還好嗎？
P04,安,嗯，我沒事。
P05,諾姆,呼～你沒事真是太好了，對不起喔，都怪我忘了提醒你這裡要小心……
P06,諾姆,對了！你有看到附近有個洞穴嗎？
P07,諾姆,這個坑實際上是很久以前，村里的水井乾竭而成的
P08,諾姆,後來村里的人，從這座水井的底部，往其他方向挖掘尋找其他的水源
P09,諾姆,你順著前面的洞穴往前走，最終應該可以看到村里現在還在使用的水井
P10,諾姆,那我去那邊等你，等你到了之後，我在跟村裡的人用繩索把你拉上來喔！
P11,安,……
P12,An,總而言之，先把找東西把前面的火把點燃吧……
P13,An,我記得背包裡還有打火石，或許可以用後面的稻草，做成一個火把
P14,An,(按 K 鍵 可 調 查 物 品)
P15,An,
P16,An,
P17,An,
P18,An,
P19,An,
P20,An,
P21,An,
P22,,
P23,An,前面的路太黑了，我需要找點東西來作為光源
P24,An,我記得背包裡有個打火石，可以用來點燃其他東西
P25,An,
P26,An,找找看附近有沒有可點燃的物品吧！
P27,An,
P28,An,勉強可以看到前面的路了
P29,An,有了這些乾燥的稻草，我應該能做出一個簡易的火把
P30,An,(按 下 迴 車 鍵 可 以 打 開 背 包)
P31,An,獲得乾稻草 * 1
P32,An,混雜著乾燥與潮濕的稻草堆
P33,An,似乎是工人的儲物箱，裡面還留有一些道具
P34,An,獲得小型炸藥 * 10
P35,An,
P36,An,橋樑無法使用，似乎需要能量來源
P37,An,
P38,An,卡‧‧‧卡喀，橋梁順利升起了
P39,An,
P40,An,紅寶石強大的能量充斥了整個空間
P41,An,伴隨著強烈的紅光，安被傳送回了橋梁前
P42,An,(可以使用橋梁了)
